path	type	species	counts	natoms	contcar_size	tebeg	teend	nsw
nscc1741_XM/xumeng/1-PCM/7-GeSe/vdos/vacf-5000-2/vacf-5000	md-amorphous	Ge Se	150 150	300	77508	300.0	300.0	5000
nscc1741_XM/xumeng/1-PCM/7-GeSe/vdos/1-vdos-0-3000	md-amorphous	Ge Se	150 150	300	77508	300.0	300.0	5000
nscc1741_XM/xumeng/1-PCM/7-GeSe/vdos/2-vdos-0-10000	md-amorphous	Ge Se	150 150	300	77508	300.0	300.0	10000
nscc1741_XM/xumeng/1-PCM/3-SiGe/pressure/2-2%	md-amorphous	Si Ge	150 150	300	77508	300.0	300.0	3000
nscc1741_XM/xumeng/1-PCM/3-SiGe/pressure/1-0GPa	md-amorphous	Si Ge	150 150	300	77508	300.0	300.0	2000
nscc1741_XM/xumeng/1-PCM/3-SiGe/pressure/3-5%	md-amorphous	Si Ge	150 150	300	77508	300.0	300.0	3000
nscc1741_XM/xumeng/1-PCM/3-SiGe/pressure/4-10%	md-amorphous	Si Ge	150 150	300	77508	300.0	300.0	3000
nscc1741_XM/xumeng/1-PCM/3-SiGe/pressure/0-0GP	md-amorphous	Si Ge	150 150	300	77508	300.0	300.0	200
nscc1741_XM/xumeng/1-PCM/3-SiGe/pressure/NPT-test	md-amorphous	Si Ge	150 150	300	77508	300.0	300.0	2000
nscc1741_XM/xumeng/1-PCM/3-SiGe/temperature/2-400k	md-amorphous	Si Ge	150 150	300	77508	400.0	400.0	50
nscc1741_XM/xumeng/1-PCM/3-SiGe/temperature/1-300k	md-amorphous	Si Ge	150 150	300	77508	300.0	300.0	50
nscc1741_XM/xumeng/1-PCM/5-GeTe/pressure/2-2%	md-amorphous	Ge Te	150 150	300	77508	300.0	300.0	2000
nscc1741_XM/xumeng/1-PCM/5-GeTe/pressure/1-0GPa	md-amorphous	Ge Te	150 150	300	77508	300.0	300.0	2000
nscc1741_XM/xumeng/1-PCM/5-GeTe/pressure/3-5%	md-amorphous	Ge Te	150 150	300	77508	300.0	300.0	2000
nscc1741_XM/xumeng/1-PCM/5-GeTe/temperature/2-400k	md-amorphous	Ge Te	150 150	300	77508	400.0	400.0	100
nscc1741_XM/xumeng/1-PCM/5-GeTe/temperature/1-300k	md-amorphous	Ge Te	150 150	300	77508	300.0	300.0	100
nscc1741_XM/xumeng/1-PCM/5-GeTe/vdos/1-vacf-1000	md-amorphous	Ge Te	150 150	300	77508	300.0	300.0	1000
nscc1741_XM/xumeng/1-PCM/5-GeTe/vdos/2-vacf-5000	md-amorphous	Ge Te	150 150	300	77508	300.0	300.0	5000
nscc1741_XM/xumeng/1-PCM/5-GeTe/vdos/3-vdos-3000-0	md-amorphous	Ge Te	150 150	300	77508	300.0	300.0	3000
nscc1741_XM/xumeng/1-PCM/5-GeTe/vdos/4-vdos-0-10000	md-amorphous	Ge Te	150 150	300	77508	300.0	300.0	10000
nscc1741_XM/xumeng/1-PCM/5-GeTe/1-vacf-1000	md-amorphous	Ge Te	150 150	300	77508	300.0	300.0	1000
nscc1741_XM/xumeng/1-PCM/5-GeTe/15-MD-300	md-amorphous	Ge Te	150 150	300	77508	300.0	300.0	1000
nscc1741_XM/xumeng/1-PCM/4-GST_124/vdos/1-vdos-0-5000	md-amorphous	Ge Sb Te	43 86 172	301	77776	300.0	300.0	5000
nscc1741_XM/xumeng/1-PCM/4-GST_124/vdos/2-vdos-0-10000	md-amorphous	Ge Sb Te	43 86 172	301	77776	300.0	300.0	10000
nscc1741_XM/xumeng/1-PCM/4-GST_124/vdos/3-vdos-0-3000-3	md-amorphous	Ge Sb Te	43 86 172	301	77776	300.0	300.0	3000
nscc1741_XM/xumeng/1-PCM/4-GST_124/vdos/4-vdos-0-10000-4	md-amorphous	Ge Sb Te	43 86 172	301	77776	300.0	300.0	10000
