path	ibrion	tebeg	teend	nsw	potim	contcar_size	species	counts
xqd/8-Sb-X/7-Sc/1-PBE	-1			0	0.50	33303	Sc Sb	45 255
xqd/8-Sb-X/7-Sc/3-bond/1-opt	2			300	0.50	523	Sc Sb	1 1
xqd/8-Sb-X/7-Sc/3-bond/2-scf	-1			0	0.50	523	Sc Sb	1 1
xqd/8-Sb-X/11-Sb2Te3-Y/1-2000K	0	2000	2000	2000	3.00	77519	Sb Te Y	108 162 30
xqd/8-Sb-X/11-Sb2Te3-Y/2-300K	0	2000	300	2000	3.00	77519	Sb Te Y	108 162 30
xqd/8-Sb-X/11-Sb2Te3-Y/3-opt	2			300	0.50	33314	Sb Te Y	108 162 30
xqd/8-Sb-X/11-Sb2Te3-Y/4-MD	0	300	300	2000	3.00	77519	Sb Te Y	108 162 30
xqd/10-SbSeC/15%-dos	-1			0	0.50	33314	Sb Se C	102 153 45
xqd/11-GeSe/22-300K	0	2000	300	6000	3.00	16856	Ge Se	32 32
xqd/11-GeSe/2-300K	0	2000	300	2000	3.00	16856	Ge Se	32 32
xqd/11-GeSe/stress	-1			0		3812	Se	32
xqd/11-GeSe/2-64-l/0-Ge32Se32	-1			0	0.50	7343	Ge Se	32 32
xqd/11-GeSe/2-64-l/1-Ge32Se32	-1			0	0.50	7343	Ge Se	32 32
xqd/11-GeSe/2-64-l/11-Ge32Se32	-1			0	0.50	7343	Ge Se	32 32
xqd/11-GeSe/2-64-l/12-Ge32Se32	-1			0	0.50	7343	Ge Se	32 32
xqd/11-GeSe/2-64-l/13-Ge32Se32	-1			0	0.50	7343	Ge Se	32 32
xqd/11-GeSe/2-64-l/14-Ge32Se32	-1			0	0.50	7343	Ge Se	32 32
xqd/11-GeSe/2-64-l/16-Ge32Se32	-1			0	0.50	7343	Ge Se	32 32
xqd/11-GeSe/2-64-l/17-Ge32Se32	-1			0	0.50	7343	Ge Se	32 32
xqd/11-GeSe/2-64-l/18-Ge32Se32	-1			0	0.50	7343	Ge Se	32 32
