path	type	species	counts	natoms	contcar_size	tebeg	teend	nsw
yyf/5-O/6-models/STRUCTURE_48/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/8-ITO/2-models/STRUCTURE_1/3-opt	opt	In Sn O	15 1 24	40	4714			1000
yyf/5-O/8-ITO/3-300atom/1-10Sn/3-opt	opt	In Sn O	108 12 180	300	33314			1000
yyf/5-O/8-ITO/1-1/5-opt	opt	In Sn O	14 2 24	40	4714			1000
yyf/5-O/8-ITO/1-1/6-opt	opt	In Sn O	31 1 48	80	9114			1000
yyf/5-O/7-INGAO/1-1/3-opt	opt	In Ga O	15 1 24	40	4714			1000
yyf/5-O/7-INGAO/2-1Ga/STRUCTURE_2/3-opt	opt	In Ga O	15 1 24	40	4714			1000
yyf/5-O/7-INGAO/2-1Ga/STRUCTURE_4/3-opt	opt	In Ga O	15 1 24	40	4714			1000
yyf/5-O/7-INGAO/2-1Ga/STRUCTURE_1/3-opt	opt	In Ga O	15 1 24	40	4714			1000
yyf/5-O/7-INGAO/2-1Ga/STRUCTURE_3/3-opt	opt	In Ga O	15 1 24	40	4714			1000
yyf/5-O/7-INGAO/2-1Ga/STRUCTURE_5/3-opt	opt	In Ga O	15 1 24	40	4714			1000
yyf/5-O/7-INGAO/3-2Ga/STRUCTURE_54/3-opt	opt	In Ga O	14 2 24	40	4714			1000
yyf/5-O/7-INGAO/3-2Ga/STRUCTURE_51/3-opt	opt	In Ga O	14 2 24	40	4714			1000
yyf/5-O/7-INGAO/3-2Ga/STRUCTURE_55/3-opt	opt	In Ga O	14 2 24	40	4714			1000
yyf/5-O/7-INGAO/3-2Ga/STRUCTURE_52/3-opt	opt	In Ga O	14 2 24	40	4714			1000
yyf/5-O/7-INGAO/3-2Ga/STRUCTURE_53/3-opt	opt	In Ga O	14 2 24	40	4714			1000
yyf/5-O/7-INGAO/4-models/STRUCTURE_3/3-opt	opt	In Ga O	14 2 24	40	4714			1000
yyf/5-O/7-INGAO/4-models/STRUCTURE_6/3-opt	opt	In Ga O	14 2 24	40	4714			1000
yyf/5-O/7-INGAO/4-models/STRUCTURE_7/3-opt	opt	In Ga O	14 2 24	40	4714			1000
yyf/5-O/7-INGAO/4-models/STRUCTURE_12/3-opt	opt	In Ga O	14 2 24	40	4714			1000
yyf/5-O/7-INGAO/4-models/STRUCTURE_16/3-opt	opt	In Ga O	14 2 24	40	4714			1000
yyf/5-O/7-INGAO/4-models/STRUCTURE_22/3-opt	opt	In Ga O	14 2 24	40	4714			1000
yyf/5-O/7-INGAO/4-models/STRUCTURE_26/3-opt	opt	In Ga O	14 2 24	40	4714			1000
yyf/5-O/7-INGAO/4-models/STRUCTURE_33/3-opt	opt	In Ga O	14 2 24	40	4714			1000
yyf/5-O/7-INGAO/4-models/STRUCTURE_37/3-opt	opt	In Ga O	14 2 24	40	4714			1000
yyf/5-O/7-INGAO/4-models/STRUCTURE_38/3-opt	opt	In Ga O	14 2 24	40	4714			1000
yyf/5-O/7-INGAO/4-models/STRUCTURE_42/3-opt	opt	In Ga O	14 2 24	40	4714			1000
